id_siniestro,id_poliza,id_asegurado,id_vehiculo,ramo,cobertura,fecha_ocurrencia,fecha_reporte,monto_reclamado_usd,monto_estimado_usd,monto_pagado_usd,estado,sucursal,ciudad_evento,descripcion,documentos_completos,id_beneficiario,tipo_beneficiario,dias_desde_inicio_poliza,dias_desde_fin_poliza,dias_entre_ocurrencia_reporte,historial_siniestros_asegurado,tuvo_parte_policial,tuvo_testigo,fault_responsable,etiqueta_fraude_simulada,ramo_pol,fecha_inicio,fecha_fin,prima_usd,suma_asegurada_usd,deducible_usd,canal_venta,ciudad,estado_poliza,tipo_cobertura,segmento,antiguedad_anios,ciudad_ase,num_polizas,reclamos_ultimos_12_meses,mora_actual,score_cliente_simulado,placa,chasis,motor,marca,modelo,anio_vehiculo,categoria,valor_comercial_usd,id_proveedor,nombre,tipo,ciudad_prov,antiguedad_anios_prov,lista_restrictiva,reclamos_asociados,porcentaje_casos_observados,monto_promedio_reclamado_usd
SIN-000001,POL-0013169,ASE-006489,VEH-0000001,Vehículos,Responsabilidad Civil,2023-12-27,2024-01-02,5017.08,6020.5,5017.08,Pago Total,Guayaquil,Guayaquil,Choque múltiple en la Av. Galo Plaza en condiciones de lluvia. Mi vehículo recibió impacto de dos automotores y presenta afectación en parachoques posterior. Ref. 175364.,True,PRV-0019,Taller,224,141,6,0,False,False,Asegurado,0,Vehículos,2023-05-17,2024-05-16,2071.69,60000.0,300.0,Banca seguros,Guayaquil,Vencida,Liability,Premium,10,Guayaquil,4,4,True,475,GBM-4355,PFKVJ6W8P2XVHAMND,K7V0RGYFFJ,Honda,CR-V,2020,Sport,79609.16,PRV-0019,Tecno-Color Pinturas Automotrices,Taller,Machala,23,False,298,436,5557.48
SIN-000002,POL-0009823,ASE-004829,VEH-0000002,Vehículos,Choque,2023-01-18,2023-01-23,30000.0,35000.0,30000.0,Anticipo,Manta,Manta,Vehículo asegurado sufrió colisión lateral mientras se encontraba detenido en semáforo en la avenida Av. 6 de Diciembre. El tercero responsable abandonó el lugar antes de la llegada de la policía. Se anexan fotografías del evento. Ref. 379059.,True,PRV-0041,Perito,346,19,5,0,True,False,Asegurado,0,Vehículos,2022-02-06,2023-02-06,3000.0,60000.0,400.0,Venta directa,Manta,Vencida,Collision,Estándar,3,Manta,1,1,False,733,MTN-6778,RHW7UR50Y75GCSAB5,JY0FZ6Z0,Honda,Civic,2017,Sport,63936.11,PRV-0041,Perito Aut. R. Andrade,Perito,Portoviejo,16,False,317,347,5660.81
SIN-000003,POL-0001182,ASE-000577,VEH-0000003,Vehículos,Choque,2023-10-27,2023-11-09,24072.56,28827.37,24072.56,Pago Total,Guayaquil,Guayaquil,"Hago constar que Mientras realizaba la prueba de manejo de El Condado hacia el centro de la ciudad, un motociclista impactó mi vehículo. Daños superficiales en maletero. Estoy disponible para ampliar información si se requiere. Ref. 647248.",True,PRV-0015,Taller,92,273,13,1,False,False,Asegurado,0,Vehículos,2023-07-27,2024-07-26,2818.57,60000.0,400.0,Web,Guayaquil,Vencida,Collision,Estándar,20,Guayaquil,3,3,False,717,GIN-5101,YAEJ5YGSLMZVYLB7V,R3086T39BU,Honda,Civic,2016,Sport,7744.2,PRV-0015,Servi-Frenos Ecuador,Taller,Quito,13,False,313,447,5368.16
SIN-000004,POL-0002338,ASE-001129,VEH-0000004,Vehículos,Responsabilidad Civil,2023-06-10,2023-07-07,421.75,506.1,421.75,Anticipo,Ibarra,Ibarra,Para conocimiento de la Compañía: Salí del estacionamiento del centro comercial y un tercero que circulaba en reversa impactó trasera de mi vehículo. Existe video de cámaras del lugar. Solicito se atienda con prontitud el reclamo. Ref. 383960.,True,PRV-0024,Taller,346,19,27,1,True,False,Tercero,0,Vehículos,2022-06-29,2023-06-29,571.22,5000.0,400.0,Banca seguros,Ibarra,Vencida,Liability,Joven,12,Ibarra,5,5,True,429,IPX-7222,VED1YPHZD4TE94NK6,FGYN0V8UN,Toyota,Prado,2014,Sport,20908.57,PRV-0024,Pintauto Premium,Taller,Guayaquil,21,False,308,552,5672.7
SIN-000005,POL-0000263,ASE-000135,VEH-0000005,Vehículos,Choque,2023-01-30,2023-02-14,30000.0,35000.0,30000.0,Pago Parcial,Guayaquil,Guayaquil,Pongo en conocimiento: El día 30/01/2023 circulando por la Panamericana Norte en sentido sur-norte fui impactado en la parte posterior por otro vehículo que no respetó la señalización. El conductor del otro vehículo se dio a la fuga. Ref. 545397.,True,PRV-0026,Taller,217,148,15,0,False,False,Tercero,0,Vehículos,2022-06-27,2023-06-27,3000.0,60000.0,400.0,Banca seguros,Guayaquil,Vencida,Collision,Joven,1,Guayaquil,4,4,False,679,GMR-6646,Z7L5WUDC25Y5X30U6,5CTCM15JFS,Honda,CR-V,2018,Sport,78763.99,PRV-0026,Chevrocenter Servicios,Taller,Machala,24,False,304,395,5930.96
SIN-000006,POL-0005634,ASE-002774,VEH-0000006,Vehículos,Choque,2023-10-27,2023-11-01,30000.0,31405.11,30000.0,Pago Total,Loja,Loja,Estacionado frente a domicilio en sector El Condado encuentro vehículo con daños en parachoques posterior sin nota ni datos del responsable. Se presume golpe y fuga. Ref. 312998.,True,PRV-0009,Taller,189,176,5,0,False,False,Tercero,0,Vehículos,2023-04-21,2024-04-20,3000.0,60000.0,400.0,Banca seguros,Guayaquil,Vencida,Collision,Premium,2,Guayaquil,3,3,False,736,GQR-5051,TJHJ5TER1P9J31ML2,W0DUF1PHI,Honda,Civic,2018,Sport,76588.92,PRV-0009,Multi Servicios Vehiculares S.A.,Taller,Portoviejo,6,False,341,235,5345.38
SIN-000007,POL-0001233,ASE-000601,VEH-0000007,Vehículos,Choque,2023-02-04,2023-02-20,30000.0,35000.0,30000.0,Pago Total,Quito,Quito,Hago constar que Pérdida de control del vehículo por desperfecto mecánico en plena Panamericana Norte; impacto contra muro de contención. Daños extensos en parachoques delantero. Solicito gestionar la cobertura conforme a la póliza. Ref. 652718.,True,PRV-0021,Taller,265,100,16,1,False,False,Tercero,0,Vehículos,2022-05-15,2023-05-15,2987.12,60000.0,400.0,Agente,Quito,Vencida,Collision,Premium,11,Quito,6,6,False,565,PCW-4981,4LB5F0HGHH6L5Z3FG,NWR7T5MNI,Honda,Fit,2016,Sport,63999.01,PRV-0021,Taller Mecánico San Francisco,Taller,Loja,18,False,318,283,5672.43
SIN-000008,POL-0002845,ASE-001380,VEH-0000008,Vehículos,Choque,2023-11-03,2024-03-26,29504.86,34763.27,29504.86,Pago Total,Ambato,Ambato,"Comunico que A las 01:15 del 03/11/2023, en la Vía Daule, otro vehículo invadió mi carril produciendo impacto posterior. Se reporta daño en maletero del vehículo asegurado. Quedo a la espera de la inspección del perito. Ref. 673070.",False,PRV-0015,Taller,292,73,144,1,False,False,Asegurado,0,Vehículos,2023-01-15,2024-01-15,2739.94,55873.24,400.0,Banca seguros,Quito,Vencida,Collision,Estándar,5,Quito,1,1,False,843,PTC-3292,MNS0N3SZ3ET10P1JL,IIOP8TM4F,Honda,Fit,2023,Sport,5664.85,PRV-0015,Servi-Frenos Ecuador,Taller,Quito,13,False,313,447,5368.16
SIN-000009,POL-0012973,ASE-006394,VEH-0000009,Vehículos,Choque,2023-12-23,2023-12-27,30000.0,35000.0,0.0,Negativa,Manta,Manta,"Realizando giro en intersección de Av. Francisco de Orellana con calle Bolívar, fui golpeado en frontal por automotor que circulaba a velocidad excesiva. Hubo testigos del evento. Solicito se atienda con prontitud el reclamo. Ref. 169052.",True,PRV-0043,Perito,260,105,4,0,False,True,Asegurado,0,Vehículos,2023-04-07,2024-04-06,3000.0,60000.0,400.0,Agente,Manta,Vencida,Collision,Estándar,4,Manta,5,5,False,612,MMC-5691,BW5KB2DY0RHGSM4W9,3R7ZSW8S,Honda,Fit,2017,Sport,61843.27,PRV-0043,Perito Aut. L. Salazar,Perito,Cuenca,9,False,336,268,553.51
SIN-000010,POL-0011517,ASE-005693,VEH-0000010,Vehículos,Choque,2023-04-18,2023-04-19,30000.0,35000.0,0.0,Reserva,Quito,Quito,Salí del estacionamiento del centro comercial y un tercero que circulaba en reversa impactó posterior de mi vehículo. Existe video de cámaras del lugar. Se anexan fotografías del evento. Ref. 369319.,True,PRV-0017,Taller,73,292,1,3,False,False,Asegurado,0,Vehículos,2023-02-04,2024-02-04,3000.0,55867.71,400.0,Broker,Quito,Vencida,All Perils,Estándar,7,Quito,2,2,False,808,PVC-2305,2RKF9U9DW0JSRNRGK,5Z5ATYMFE,Ford,EcoSport,2014,Utility,74702.79,PRV-0017,Latonería Internacional,Taller,Guayaquil,23,False,353,2323,6701.74
